Id;Degree deviation;Degree;Neighbors;Connective redudancy
1017;3.796;13;12;0.077
1018;15.296;46;44;0.043
1019;0.728;3;3;0
1020;6.916;22;21;0.045
1021;0.728;3;3;0
1022;1.884;8;7;0.125
1023;1.161;5;5;0
1024;0.728;3;3;0
1025;5.551;17;16;0.059
1026;7.298;22;22;0
1027;0.728;3;3;0
1028;2.611;11;10;0.091
1029;2.1;8;7;0.125
1030;2.433;9;8;0.111
1032;1.773;7;6;0.143
1033;4.486;15;14;0.067
1034;1.884;8;7;0.125
1035;12.15;37;36;0.027
1036;1.385;5;5;0
1037;1.161;5;4;0.2
1038;3.11;10;9;0.1
1039;1.385;5;5;0
1040;2.1;8;7;0.125
1041;1.457;6;6;0
1042;1.884;8;7;0.125
1043;1.457;6;5;0.167
1044;2.763;9;9;0
1045;5.202;19;19;0
1046;0.904;4;3;0.25
1047;1.161;5;4;0.2
1048;1.726;6;6;0
1050;1.161;5;4;0.2
1051;0.904;4;3;0.25
1052;1.884;8;7;0.125
1053;4.853;15;15;0
1054;1.05;4;3;0.25
1055;1.604;7;6;0.143
1056;0.728;3;3;0
1058;8.288;27;26;0.037
1059;1.05;4;4;0
1060;2.07;7;7;0
1061;0.904;4;4;0
1062;0.728;3;2;0.333
1063;0.728;3;3;0
1064;1.726;6;5;0.167
1065;3.458;11;11;0
1067;1.05;4;4;0
1068;1.604;7;6;0.143
1070;7.265;23;22;0.043
1081;2.07;7;7;0
1082;0.728;3;3;0
1084;2.07;7;6;0.143
1085;1.726;6;6;0
1086;1.161;5;4;0.2
1087;2.499;11;10;0.091
1089;0.452;2;1;0.5
1090;3.796;13;12;0.077
1091;2.416;8;8;0
1092;1.05;4;4;0
1093;3.807;12;12;0
1094;6.25;19;18;0.053
1095;2.416;8;7;0.125
1096;0.452;2;2;0
1097;2.07;7;6;0.143
1098;4.853;15;14;0.067
1099;14.993;44;44;0
1100;3.11;11;10;0.091
1101;4.486;15;14;0.067
1102;1.05;4;4;0
